id,timestamp,package_name,learning_event_type,additional_data,research_experiment,experiment_group,video_title,video_id
5807486,1749509738,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter c,3
5807487,1749509743,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 19682},,,akili and me - letter c,3
5807488,1749509781,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter b,2
5807489,1749509812,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 13293},,,akili and me - letter b,2
5807490,1749509861,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter c,3
5807491,1749509915,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 32770},,,akili and me - letter c,3
5807492,1749510031,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter c,3
5807493,1749510067,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 58716},,,akili and me - letter c,3
5807494,1749510093,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter d,4
5807495,1749510099,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 59568},,,akili and me - letter d,4
5807496,1749510196,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807497,1749510226,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 56451},,,akili and me - letter a,1
5807500,1749770991,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter c,3
5807501,1749771011,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 2329},,,akili and me - letter c,3
5807502,1749771069,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807503,1749771110,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 20920},,,akili and me - letter a,1
5807504,1749771166,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter c,3
5807505,1749771188,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 32817},,,akili and me - letter c,3
5807506,1749771237,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - the rectangle song,13
5807507,1749771267,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 15230},,,akili and me - the rectangle song,13
5807508,1749771368,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - the rectangle song,13
5807509,1749771426,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 11887},,,akili and me - the rectangle song,13
5807510,1749771497,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807511,1749771533,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 45757},,,akili and me - letter a,1
5807512,1749771629,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter i,33
5807513,1749771657,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 41257},,,akili and me - letter i,33
5807514,1749771723,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807515,1749771746,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 28868},,,akili and me - letter a,1
5807516,1749771803,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807517,1749771822,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 5847},,,akili and me - letter a,1
5807536,1749781435,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter c,3
5807537,1749781443,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 2235},,,akili and me - letter c,3
5807538,1749781515,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter i,33
5807539,1749781563,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 59515},,,akili and me - letter i,33
5807540,1749781608,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter i,33
5807541,1749781643,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 42984},,,akili and me - letter i,33
5807560,1749857982,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807561,1749858036,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 58163},,,akili and me - letter a,1
5807562,1749858125,ai.elimu.filamu,VIDEO_OPENED,,,,[test] a test video,44
5807563,1749858156,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 54353},,,[test] a test video,44
5807564,1749858190,ai.elimu.filamu,VIDEO_OPENED,,,,[test] a test video,44
