id,timestamp,package_name,additional_data,research_experiment,experiment_group,video_title,video_id
5807760,1749775644,ai.elimu.filamu,,,,akili and me - letter b,2
5807761,1749775646,ai.elimu.filamu,,,,,2
5807762,1749775647,ai.elimu.filamu,,,,[test] a test video,44
5807763,1749775648,ai.elimu.filamu,,,,,44
5807764,1749775649,ai.elimu.filamu,,,,[test] a test video,44
5807765,1749775653,ai.elimu.filamu,,,,,44
5807766,1749799858,ai.elimu.filamu,,,,[test] a test video,44
5807767,1749799867,ai.elimu.filamu,,,,[test] a test video,44
5807768,1749800215,ai.elimu.filamu,,,,akili and me - the rectangle song,13
5807769,1749879528,ai.elimu.filamu,,,,[test] a test video,44
5807770,1749879533,ai.elimu.filamu,"{""video_playback_position_ms"":4423}",,,,44
5807771,1749879540,ai.elimu.filamu,,,,[test] a test video,44
5807772,1749879559,ai.elimu.filamu,"{""video_playback_position_ms"":30526}",,,[test] a test video,44
5807773,1750039116,ai.elimu.filamu,,,,[test] a test video,44
5807774,1750039124,ai.elimu.filamu,"{""video_playback_position_ms"":6997}",,,,44
5807775,1750039125,ai.elimu.filamu,,,,akili and me - letter i,33
5807776,1750039133,ai.elimu.filamu,"{""video_playback_position_ms"":0}",,,,33
5807847,1750241620,ai.elimu.filamu,,,,[test] a test video,44
5807848,1750241623,ai.elimu.filamu,"{""video_playback_position_ms"":2472}",,,,44
5807849,1750241682,ai.elimu.filamu,,,,akili and me - letter d,4
5807850,1750241685,ai.elimu.filamu,"{""video_playback_position_ms"":0}",,,,4
5807863,1750345107,ai.elimu.filamu,,0.0,0.0,[test] a test video,44
5807864,1750402998,ai.elimu.filamu,,0.0,0.0,[test] a test video,44
5807865,1750421977,ai.elimu.filamu,"{""video_playback_position_ms"":1161}",0.0,0.0,,44
5807866,1750421978,ai.elimu.filamu,,0.0,0.0,akili and me - letter i,33
5807867,1750421979,ai.elimu.filamu,"{""video_playback_position_ms"":0}",0.0,0.0,,33
5807868,1750423047,ai.elimu.filamu,,0.0,0.0,akili and me - the rectangle song,13
5807869,1750423052,ai.elimu.filamu,"{""video_playback_position_ms"":0}",0.0,0.0,,13
5808160,1751180285,ai.elimu.filamu,,0.0,0.0,akili and me - letter i,33
5808161,1751180289,ai.elimu.filamu,"{""video_playback_position_ms"":0}",0.0,0.0,,33
5808162,1751180290,ai.elimu.filamu,,0.0,0.0,[test] a test video,44
5808163,1751180306,ai.elimu.filamu,"{""video_playback_position_ms"":30526}",0.0,0.0,[test] a test video,44
5808164,1751180425,ai.elimu.filamu,"{""video_playback_position_ms"":591}",0.0,0.0,,44
5808165,1751180426,ai.elimu.filamu,"{""video_playback_position_ms"":1121}",0.0,0.0,,44
5808200,1751279636,ai.elimu.filamu,,0.0,0.0,akili and me - letter i,33
5808201,1751279639,ai.elimu.filamu,"{""video_playback_position_ms"":0}",0.0,0.0,,33
5808202,1751279640,ai.elimu.filamu,,0.0,0.0,[test] a test video,44
5808937,1752908503,ai.elimu.filamu,"{""eventType"":""VIDEO_OPENED""}",0.0,0.0,akili and me - letter d,4
5808938,1752908504,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":0}",0.0,0.0,,4
5809267,1753952194,ai.elimu.filamu,"{""eventType"":""VIDEO_OPENED""}",0.0,0.0,[test] a test video,44
5809268,1753952211,ai.elimu.filamu,"{""eventType"":""VIDEO_OPENED""}",0.0,0.0,[test] a test video,44
5809503,1754447481,ai.elimu.filamu,"{""eventType"":""VIDEO_OPENED""}",0.0,0.0,akili and me - letter i,33
5809504,1754447484,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":0}",0.0,0.0,akili and me - letter i,33
5809505,1754447487,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":1812}",0.0,0.0,[test] a test video,44
5809506,1754447494,ai.elimu.filamu,"{""eventType"":""VIDEO_OPENED""}",0.0,0.0,[test] a test video,44
5809507,1754447502,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":1486}",0.0,0.0,[test] a test video,44
5809508,1754447503,ai.elimu.filamu,"{""eventType"":""VIDEO_OPENED""}",0.0,0.0,[test] a test video,44
5809509,1754447509,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":5478}",0.0,0.0,[test] a test video,44
5809510,1754447516,ai.elimu.filamu,"{""eventType"":""VIDEO_OPENED""}",0.0,0.0,[test] a test video,44
5809511,1754447524,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":5558}",0.0,0.0,[test] a test video,44
5810654,1758097752,ai.elimu.filamu,"{""eventType"":""VIDEO_OPENED""}",0.0,0.0,[test] a test video,44
5810655,1758097758,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":0}",0.0,0.0,[test] a test video,44
5810656,1758097761,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":0}",0.0,0.0,akili and me - letter i,33
5810657,1758097763,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":0}",0.0,0.0,akili and me - the rectangle song,13
5810658,1758097764,ai.elimu.filamu,"{""eventType"":""VIDEO_OPENED""}",0.0,0.0,akili and me - letter d,4
5810659,1758097766,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":0}",0.0,0.0,akili and me - letter d,4
5810660,1758097768,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":0}",0.0,0.0,akili and me - letter a,1
5810661,1758097770,ai.elimu.filamu,"{""eventType"":""VIDEO_OPENED""}",0.0,0.0,[test] a test video,44
5810662,1758097773,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":0}",0.0,0.0,[test] a test video,44
5810931,1758731335,ai.elimu.filamu,"{""eventType"":""VIDEO_OPENED""}",0.0,0.0,akili and me - letter d,4
5810932,1758731338,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":0}",0.0,0.0,akili and me - letter d,4
5810933,1758731342,ai.elimu.filamu,"{""eventType"":""VIDEO_CLOSED_BEFORE_COMPLETION"",""video_playback_position_ms"":0}",0.0,0.0,[test] a test video,44
