id,timestamp,package_name,mastery_score,time_spent_ms,additional_data,research_experiment,experiment_group,number_value,number_id
4,1773611133,ai.elimu.learndigits,1.0,1024,,0,1,0,
5,1773611137,ai.elimu.learndigits,1.0,415,,0,1,5,
6,1773611139,ai.elimu.learndigits,0.0,149,"{""numberSelected"":7}",0,1,2,
7,1773611144,ai.elimu.learndigits,1.0,507,,0,1,5,
8,1773611147,ai.elimu.learndigits,1.0,593,,0,1,0,
9,1775157723,ai.elimu.learndigits,1.0,307,,0,1,3,
10,1775157726,ai.elimu.learndigits,1.0,301,,0,1,2,
11,1775157729,ai.elimu.learndigits,1.0,196,,0,1,2,
12,1775157732,ai.elimu.learndigits,1.0,381,,0,1,4,
13,1775157736,ai.elimu.learndigits,1.0,1168,,0,1,8,
14,1775157739,ai.elimu.learndigits,1.0,868,,0,1,0,
15,1775157742,ai.elimu.learndigits,1.0,614,,0,1,3,
16,1775157746,ai.elimu.learndigits,1.0,1762,,0,1,0,
